Ce_wt,Cr_wt,T_equil_C,C,SI,MN,CU,NI,P,S,CE,CR,calculation_status,calculation_error,stable_phases,n_stable_phases,phasefrac_BCC_A2#1,phasefrac_M7C3_D101#1,phasefrac_MS_B1#1,phase_fraction_sum,phasefrac_base_BCC_A2,phasefrac_base_CEMENTITE_D011,phasefrac_base_M7C3_D101,phasefrac_base_MS_B1,phasefrac_base_CE2S3,phasefrac_base_CE3S4_D73,phasefrac_base_CE2C3_D5C,matrix_phase_fraction,matrix_Cr_wt,matrix_Mn_wt,matrix_Cu_wt,phasefrac_CE2S3#1,phasefrac_CE3S4_D73#1,phasefrac_CE2C3_D5C#1,harmful_phase_fraction,calphad_feasible
0.0,1.0,700.0,0.06,0.25,0.8,0.3,0.3,0.015,0.005,0.0,1.0,ok,,BCC_A2#1;M7C3_D101#1;MS_B1#1,3,0.9915358557173619,0.008290881196794827,0.0001732630858431268,0.9999999999999998,0.9915358557173619,0.0,0.008290881196794827,0.0001732630858431268,0.0,0.0,0.0,0.9915358557173619,0.7420002173557751,0.7617932810314713,0.30190407498083466,,,,0.0,False
0.0,1.1,700.0,0.06,0.25,0.8,0.3,0.3,0.015,0.005,0.0,1.1,ok,,BCC_A2#1;M7C3_D101#1;MS_B1#1,3,0.9914479377088011,0.008378811977591659,0.00017325031360723893,1.0,0.9914479377088011,0.0,0.008378811977591659,0.00017325031360723893,0.0,0.0,0.0,0.9914479377088011,0.8252609781131404,0.7635830845701418,0.30192094107121004,,,,0.0,True
0.0,1.2,700.0,0.06,0.25,0.8,0.3,0.3,0.015,0.005,0.0,1.2,ok,,BCC_A2#1;M7C3_D101#1;MS_B1#1,3,0.9913720933891629,0.008454669068207845,0.0001732375426293787,1.0,0.9913720933891629,0.0,0.008454669068207845,0.0001732375426293787,0.0,0.0,0.0,0.9913720933891629,0.909940204822382,0.7652172564222695,0.30193530155744835,,,,0.0,True
0.0,1.3,700.0,0.06,0.25,0.8,0.3,0.3,0.015,0.005,0.0,1.3,ok,,BCC_A2#1;M7C3_D101#1;MS_B1#1,3,0.9913064216760518,0.008520353550969344,0.00017322477297890436,1.0,0.9913064216760518,0.0,0.008520353550969344,0.00017322477297890436,0.0,0.0,0.0,0.9913064216760518,0.9958627591535046,0.766713574081703,0.30194756097322717,,,,0.0,True
0.0,1.4,700.0,0.06,0.25,0.8,0.3,0.3,0.015,0.005,0.0,1.4,ok,,BCC_A2#1;M7C3_D101#1;MS_B1#1,3,0.991249322667719,0.00857746532756493,0.00017321200471603096,1.0,0.991249322667719,0.0,0.00857746532756493,0.00017321200471603096,0.0,0.0,0.0,0.991249322667719,1.082880366848472,0.7680880202680684,0.3019580597456616,,,,0.0,True
0.005,1.0,700.0,0.06,0.25,0.8,0.3,0.3,0.015,0.005,0.005,1.0,ok,,BCC_A2#1;CE2S3#1;M7C3_D101#1;MS_B1#1,4,0.9915447963781006,0.008291436329115665,0.0001162622679592991,0.9999999999999999,0.9915447963781006,0.0,0.008291436329115665,0.0001162622679592991,4.750502482439017e-05,0.0,0.0,0.9915447963781006,0.7420821572535188,0.7645945718689763,0.30191053521047495,4.750502482439017e-05,,,0.0,False
0.005,1.1,700.0,0.06,0.25,0.8,0.3,0.3,0.015,0.005,0.005,1.1,ok,,BCC_A2#1;CE2S3#1;M7C3_D101#1;MS_B1#1,4,0.9914569345927607,0.008379310724224194,0.00011625047393547751,1.0000000000000002,0.9914569345927607,0.0,0.008379310724224194,0.00011625047393547751,4.750420907983939e-05,0.0,0.0,0.9914569345927607,0.8253470298581083,0.7663884132870313,0.301927388808105,4.750420907983939e-05,,,0.0,True
0.005,1.2,700.0,0.06,0.25,0.8,0.3,0.3,0.015,0.005,0.005,1.2,ok,,BCC_A2#1;CE2S3#1;M7C3_D101#1;MS_B1#1,4,0.9913811349478895,0.00845512303640807,0.0001162383283133517,0.9999999999999999,0.9913811349478895,0.0,0.00845512303640807,0.0001162383283133517,4.750368738903152e-05,0.0,0.0,0.9913811349478895,0.9100301032558118,0.7680261459900904,0.3019417393783876,4.750368738903152e-05,,,0.0,True
0.005,1.3,700.0,0.06,0.25,0.8,0.3,0.3,0.015,0.005,0.005,1.3,ok,,BCC_A2#1;CE2S3#1;M7C3_D101#1;MS_B1#1,4,0.9913154989574501,0.008520771743220967,0.00011622588165418092,0.9999999999999999,0.9913154989574501,0.0,0.008520771743220967,0.00011622588165418092,4.750341767465684e-05,0.0,0.0,0.9913154989574501,0.9959563161332206,0.7695255976587706,0.3019539908753115,4.750341767465684e-05,,,0.0,True
0.005,1.4,700.0,0.06,0.25,0.8,0.3,0.3,0.015,0.005,0.005,1.4,ok,,BCC_A2#1;CE2S3#1;M7C3_D101#1;MS_B1#1,4,0.9912584287101985,0.008577854748521187,0.00011621317797632737,1.0000000000000002,0.9912584287101985,0.0,0.008577854748521187,0.00011621317797632737,4.7503363304086714e-05,0.0,0.0,0.9912584287101985,1.0829774487697224,0.7709027980623703,0.3019644832812181,4.7503363304086714e-05,,,0.0,True
