Ce_wt,Cr_wt,T_equil_C,C,SI,MN,CU,NI,P,S,CE,CR,calculation_status,calculation_error,stable_phases,n_stable_phases,phasefrac_BCC_A2#1,phasefrac_CEMENTITE_D011#1,phasefrac_M7C3_D101#1,phasefrac_MS_B1#1,phase_fraction_sum,matrix_phase_fraction,matrix_Cr_wt,matrix_Mn_wt,matrix_Cu_wt,phasefrac_CE2S3#1,phasefrac_CE3S4_D73#1,phasefrac_CE2C3_D5C#1,harmful_phase_fraction,calphad_feasible
0.0,0.8,700.0,0.06,0.25,0.8,0.3,0.3,0.015,0.005,0.0,0.8,ok,,BCC_A2#1;CEMENTITE_D011#1;M7C3_D101#1;MS_B1#1,4,,,,,0.0,0.0,,,,,,,0.0,False
0.0,0.9,700.0,0.06,0.25,0.8,0.3,0.3,0.015,0.005,0.0,0.9,ok,,BCC_A2#1;M7C3_D101#1;MS_B1#1,3,,,,,0.0,0.0,,,,,,,0.0,False
0.0,1.0,700.0,0.06,0.25,0.8,0.3,0.3,0.015,0.005,0.0,1.0,ok,,BCC_A2#1;M7C3_D101#1;MS_B1#1,3,,,,,0.0,0.0,,,,,,,0.0,False
0.0,1.1,700.0,0.06,0.25,0.8,0.3,0.3,0.015,0.005,0.0,1.1,ok,,BCC_A2#1;M7C3_D101#1;MS_B1#1,3,,,,,0.0,0.0,,,,,,,0.0,False
0.0,1.2,700.0,0.06,0.25,0.8,0.3,0.3,0.015,0.005,0.0,1.2,ok,,BCC_A2#1;M7C3_D101#1;MS_B1#1,3,,,,,0.0,0.0,,,,,,,0.0,False
0.0,1.3,700.0,0.06,0.25,0.8,0.3,0.3,0.015,0.005,0.0,1.3,ok,,BCC_A2#1;M7C3_D101#1;MS_B1#1,3,,,,,0.0,0.0,,,,,,,0.0,False
0.0,1.4,700.0,0.06,0.25,0.8,0.3,0.3,0.015,0.005,0.0,1.4,ok,,BCC_A2#1;M7C3_D101#1;MS_B1#1,3,,,,,0.0,0.0,,,,,,,0.0,False
0.005,0.8,700.0,0.06,0.25,0.8,0.3,0.3,0.015,0.005,0.005,0.8,ok,,BCC_A2#1;CE2S3#1;CEMENTITE_D011#1;M7C3_D101#1;MS_B1#1,5,,,,,0.0,0.0,,,,,,,0.0,False
0.005,0.9,700.0,0.06,0.25,0.8,0.3,0.3,0.015,0.005,0.005,0.9,ok,,BCC_A2#1;CE2S3#1;M7C3_D101#1;MS_B1#1,4,,,,,0.0,0.0,,,,,,,0.0,False
0.005,1.0,700.0,0.06,0.25,0.8,0.3,0.3,0.015,0.005,0.005,1.0,ok,,BCC_A2#1;CE2S3#1;M7C3_D101#1;MS_B1#1,4,,,,,0.0,0.0,,,,,,,0.0,False
0.005,1.1,700.0,0.06,0.25,0.8,0.3,0.3,0.015,0.005,0.005,1.1,ok,,BCC_A2#1;CE2S3#1;M7C3_D101#1;MS_B1#1,4,,,,,0.0,0.0,,,,,,,0.0,False
0.005,1.2,700.0,0.06,0.25,0.8,0.3,0.3,0.015,0.005,0.005,1.2,ok,,BCC_A2#1;CE2S3#1;M7C3_D101#1;MS_B1#1,4,,,,,0.0,0.0,,,,,,,0.0,False
0.005,1.3,700.0,0.06,0.25,0.8,0.3,0.3,0.015,0.005,0.005,1.3,ok,,BCC_A2#1;CE2S3#1;M7C3_D101#1;MS_B1#1,4,,,,,0.0,0.0,,,,,,,0.0,False
0.005,1.4,700.0,0.06,0.25,0.8,0.3,0.3,0.015,0.005,0.005,1.4,ok,,BCC_A2#1;CE2S3#1;M7C3_D101#1;MS_B1#1,4,,,,,0.0,0.0,,,,,,,0.0,False
0.01,0.8,700.0,0.06,0.25,0.8,0.3,0.3,0.015,0.005,0.01,0.8,ok,,BCC_A2#1;CE2S3#1;CEMENTITE_D011#1;M7C3_D101#1;MS_B1#1,5,,,,,0.0,0.0,,,,,,,0.0,False
0.01,0.9,700.0,0.06,0.25,0.8,0.3,0.3,0.015,0.005,0.01,0.9,ok,,BCC_A2#1;CE2S3#1;M7C3_D101#1;MS_B1#1,4,,,,,0.0,0.0,,,,,,,0.0,False
0.01,1.0,700.0,0.06,0.25,0.8,0.3,0.3,0.015,0.005,0.01,1.0,ok,,BCC_A2#1;CE2S3#1;M7C3_D101#1;MS_B1#1,4,,,,,0.0,0.0,,,,,,,0.0,False
