Ce_wt,Cr_wt,T_equil_C,C,SI,MN,CU,NI,P,S,CE,CR,calculation_status,calculation_error,stable_phases,n_stable_phases,phasefrac_FCC_A1#1,phasefrac_MS_B1#1,phase_fraction_sum,phasefrac_base_CE2C3_D5C,phasefrac_base_CE3S4_D73,phasefrac_base_LAVES_C15,phasefrac_base_MU_PHASE,phasefrac_base_LAVES_C14,phasefrac_base_BCC_A2,phasefrac_base_CHI,phasefrac_base_MS_B1,phasefrac_base_FCC_A1,phasefrac_base_SIGMA,phasefrac_base_CE2S3,phasefrac_base_M7C3_D101,matrix_phase_fraction,matrix_Cr_wt,matrix_Mn_wt,matrix_Cu_wt,phasefrac_CE2S3#1,phasefrac_CE3S4_D73#1,phasefrac_CE2C3_D5C#1,harmful_phase_fraction,calphad_feasible
0.0,0.9,900.0,0.05,0.75,0.6,0.35,0.2,0.015,0.005,0.0,0.9,ok,,FCC_A1#1;MS_B1#1,2,0.9998277643430308,0.00017223565696912935,0.9999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00017223565696912935,0.9998277643430308,0.0,0.0,0.0,0.9998277643430308,0.8998004621850411,0.5918729568083534,0.3500473528834499,,,,0.0,True
0.0,1.0,900.0,0.05,0.75,0.6,0.35,0.2,0.015,0.005,0.0,1.0,ok,,FCC_A1#1;MS_B1#1,2,0.9998277782473117,0.0001722217526884059,1.0000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001722217526884059,0.9998277782473117,0.0,0.0,0.0,0.9998277782473117,0.999785860466676,0.5919026265234892,0.3500473469602692,,,,0.0,True
0.0,1.1,900.0,0.05,0.75,0.6,0.35,0.2,0.015,0.005,0.0,1.1,ok,,FCC_A1#1;MS_B1#1,2,0.9998277921741173,0.0001722078258824784,0.9999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001722078258824784,0.9998277921741173,0.0,0.0,0.0,0.9998277921741173,1.0997723015459788,0.591931196902083,0.35004734123762066,,,,0.0,True
0.0,1.2,900.0,0.05,0.75,0.6,0.35,0.2,0.015,0.005,0.0,1.2,ok,,FCC_A1#1;MS_B1#1,2,0.9998278061223475,0.0001721938776525271,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001721938776525271,0.9998278061223475,0.0,0.0,0.0,0.9998278061223475,1.1997597049605044,0.5919587526861263,0.3500473356998278,,,,0.0,True
0.0,1.3,900.0,0.05,0.75,0.6,0.35,0.2,0.015,0.005,0.0,1.3,ok,,FCC_A1#1;MS_B1#1,2,0.9998278200910088,0.00017217990899122637,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00017217990899122637,0.9998278200910088,0.0,0.0,0.0,0.9998278200910088,1.2997479995395012,0.5919853688351258,0.3500473303330322,,,,0.0,True
0.005,0.9,900.0,0.05,0.75,0.6,0.35,0.2,0.015,0.005,0.005,0.9,ok,,CE2S3#1;FCC_A1#1;MS_B1#1,3,0.9998372659863944,0.0001151772513511468,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001151772513511468,0.9998372659863944,0.0,4.7556762254406936e-05,0.0,0.9998372659863944,0.8999342388274404,0.5946671696399629,0.3500547107882019,4.7556762254406936e-05,,,0.0,True
0.005,1.0,900.0,0.05,0.75,0.6,0.35,0.2,0.015,0.005,0.005,1.0,ok,,CE2S3#1;FCC_A1#1;MS_B1#1,3,0.9998372811100037,0.00011515606020423886,0.9999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00011515606020423886,0.9998372811100037,0.0,4.756282979190009e-05,0.0,0.9998372811100037,0.9999316289198747,0.5946866171888032,0.3500547061587667,4.756282979190009e-05,,,0.0,True
0.005,1.1,900.0,0.05,0.75,0.6,0.35,0.2,0.015,0.005,0.005,1.1,ok,,CE2S3#1;FCC_A1#1;MS_B1#1,3,0.999837296138629,0.00011513554347351501,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00011513554347351501,0.999837296138629,0.0,4.7568317897570765e-05,0.0,0.999837296138629,1.099929676252626,0.5947053604022338,0.3500547016939824,4.7568317897570765e-05,,,0.0,True
0.005,1.2,900.0,0.05,0.75,0.6,0.35,0.2,0.015,0.005,0.005,1.2,ok,,CE2S3#1;FCC_A1#1;MS_B1#1,3,0.9998373110817231,0.0001151156396010442,0.9999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001151156396010442,0.9998373110817231,0.0,4.7573278675615895e-05,0.0,0.9998373110817231,1.1999283316413072,0.5947234521170053,0.35005469738072975,4.7573278675615895e-05,,,0.0,True
0.005,1.3,900.0,0.05,0.75,0.6,0.35,0.2,0.015,0.005,0.005,1.3,ok,,CE2S3#1;FCC_A1#1;MS_B1#1,3,0.9998373259475398,0.00011509629469596113,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00011509629469596113,0.9998373259475398,0.0,4.75777577642723e-05,0.0,0.9998373259475398,1.2999275514061674,0.5947409392456431,0.3500546932074088,4.75777577642723e-05,,,0.0,True
0.01,0.8,900.0,0.05,0.75,0.6,0.35,0.2,0.015,0.005,0.01,0.8,ok,,CE2S3#1;FCC_A1#1;MS_B1#1,3,0.9998473041112246,5.484677094811215e-05,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.484677094811215e-05,0.9998473041112246,0.0,9.784911782743569e-05,0.0,0.9998473041112246,0.8000525208022946,0.597512551955601,0.35006187942207484,9.784911782743569e-05,,,0.0,True
0.01,0.9,900.0,0.05,0.75,0.6,0.35,0.2,0.015,0.005,0.01,0.9,ok,,CE2S3#1;FCC_A1#1;MS_B1#1,3,0.9998473175421664,5.483564561037241e-05,1.0000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.483564561037241e-05,0.9998473175421664,0.0,9.784681222354919e-05,0.0,0.9998473175421664,0.9000612040623723,0.5975221773426442,0.35006187695548635,9.784681222354919e-05,,,0.0,True
