sample_id,Ce_wt,Cr_wt,C,SI,MN,CU,NI,P,S,CE,CR,liquidus_C,scheil_end_C,T_90solid_C,T_99solid_C,freezing_range_C,crack_susceptibility_dT,n_scheil_steps,scheil_status
S01,0.0,0.9,0.05,0.75,0.6,0.35,0.2,0.015,0.005,0.0,0.9,1525.612068,1440.4645679999999,1440.4645679999999,1440.4645679999999,85.14750000000004,0.0,89,ok
S02,0.005,0.9,0.05,0.75,0.6,0.35,0.2,0.015,0.005,0.005,0.9,1660.8343599999998,1448.3562350000002,1448.3562350000002,1448.3562350000002,212.47812499999986,0.0,218,ok
S03,0.01,0.8,0.05,0.75,0.6,0.35,0.2,0.015,0.005,0.01,0.8,1712.3194990000002,1441.458874,1441.458874,1441.458874,270.860625,0.0,276,ok
S04,0.015,0.8,0.05,0.75,0.6,0.35,0.2,0.015,0.005,0.015,0.8,1744.0807760000002,1434.8057760000002,1434.8057760000002,1434.8057760000002,309.2750000000001,0.0,313,ok
S05,0.02,0.8,0.05,0.75,0.6,0.35,0.2,0.015,0.005,0.02,0.8,1767.234641,1428.4496410000002,1428.4496410000002,1428.4496410000002,338.7850000000001,0.0,342,ok
S06,0.025,0.8,0.05,0.75,0.6,0.35,0.2,0.015,0.005,0.025,0.8,1785.5583069999998,1422.3351819999998,1422.3351819999998,1422.3351819999998,363.223125,0.0,369,ok
S07,0.03,0.8,0.05,0.75,0.6,0.35,0.2,0.015,0.005,0.03,0.8,1800.7707599999999,1416.4001349999999,1416.4001349999999,1416.4001349999999,384.370625,0.0,389,ok
S08,0.035,0.8,0.05,0.75,0.6,0.35,0.2,0.015,0.005,0.035,0.8,1813.8042449999998,1410.62487,1410.62487,1410.62487,403.17937499999994,0.0,408,ok
S09,0.04,0.8,0.05,0.75,0.6,0.35,0.2,0.015,0.005,0.04,0.8,1825.22282,1404.979695,1404.979695,1404.979695,420.24312499999996,0.0,425,ok
S10,0.045,0.8,0.05,0.75,0.6,0.35,0.2,0.015,0.005,0.045,0.8,1835.3945249999997,1399.5020250000002,1399.5020250000002,1399.5020250000002,435.8924999999997,0.0,440,ok
S11,0.05,0.8,0.05,0.75,0.6,0.35,0.2,0.015,0.005,0.05,0.8,1844.573206,1395.106956,1395.106956,1395.106956,449.4662500000002,0.0,453,ok
S12,0.055,0.8,0.05,0.75,0.6,0.35,0.2,0.015,0.005,0.055,0.8,1852.9415369999997,1389.8059119999998,1389.8059119999998,1389.8059119999998,463.1356249999999,0.0,467,ok
S13,0.06,0.8,0.05,0.75,0.6,0.35,0.2,0.015,0.005,0.06,0.8,1860.635483,1384.615483,1384.615483,1384.615483,476.0200000000002,0.0,480,ok
S14,0.065,0.8,0.05,0.75,0.6,0.35,0.2,0.015,0.005,0.065,0.8,1867.7590729999997,1380.5159480000002,1380.5159480000002,1380.5159480000002,487.24312499999974,0.0,492,ok
S15,0.07,0.8,0.05,0.75,0.6,0.35,0.2,0.015,0.005,0.07,0.8,1874.393696,1376.437446,1376.437446,1376.437446,497.9562500000002,0.0,502,ok
S16,0.075,0.8,0.05,0.75,0.6,0.35,0.2,0.015,0.005,0.075,0.8,1880.604291,1371.456791,1371.456791,1371.456791,509.14750000000026,0.0,513,ok
S17,0.08,0.8,0.05,0.75,0.6,0.35,0.2,0.015,0.005,0.08,0.8,1886.4435079999998,1367.4991329999998,1367.4991329999998,1367.4991329999998,518.944375,0.0,523,ok
S18,0.085,0.8,0.05,0.75,0.6,0.35,0.2,0.015,0.005,0.085,0.8,1891.9546419999997,1362.647767,1362.647767,1362.647767,529.3068749999998,0.0,534,ok
S19,0.09,0.8,0.05,0.75,0.6,0.35,0.2,0.015,0.005,0.09,0.8,1897.1737439999997,1358.8031190000002,1358.8031190000002,1358.8031190000002,538.3706249999998,0.0,543,ok
S20,0.095,0.8,0.05,0.75,0.6,0.35,0.2,0.015,0.005,0.095,0.8,1902.131152,1355.0474020000001,1355.0474020000001,1355.0474020000001,547.08375,0.0,551,ok
